,station_name,poi_name,latitude,longitude,address,distance_m,category
2,Ridge & Heritage,Thunder Mug Cafe,40.00941146209319,-75.19468934325535,"4233 Ridge Ave, Philadelphia, PA 19129",216,Coffee Shop
3,Ridge & Heritage,Shan Chuan,40.009165706661726,-75.19411377568966,"4211 Ridge Ave (Midvale Ave.), Philadelphia, PA 19129",272,Chinese Restaurant
4,Ridge & Heritage,LeBus East Falls,40.00886168466631,-75.1936636134526,"4201 Ridge Ave (Indian Queen Lane), Philadelphia, PA 19129",321,New American Restaurant
20,Huntingdon & Collins,Cook and Shaker,39.982694502837816,-75.12070207770445,"2301 E Albert St (at Tulip St), Philadelphia, PA 19125",310,American Restaurant
24,Huntingdon & Collins,Atlantis: The Lost Bar,39.98234047431338,-75.12686182383922,"2442 Frankford Ave, Philadelphia, PA 19125",375,Bar
26,Huntingdon & Collins,Salsa on the Square,39.985416095106885,-75.12136567176852,"2126 E Lehigh Ave, Philadelphia, PA 19125",206,Bar
41,Main & Shurs,Pilgrim Roasters,40.0226564236708,-75.21936060925687,"4120 Main St, Philadelphia, PA 19127",120,Coffee Shop
42,Main & Shurs,Craft Manayunk,40.02288636014017,-75.21894490623362,"4141 Main St, Philadelphia, PA 19127",98,Bar
44,Main & Shurs,Castle Roxx,40.02277716566941,-75.21748482067292,"105 Shurs Ln (at Cresson St), Philadelphia, PA 19127",63,Sports Bar
47,Main & Shurs,The Goat's Beard,40.023772724303775,-75.22014264044715,"4201 Main St (at Pensdale St), Philadelphia, PA 19127",239,Bar
48,Main & Shurs,Union Taco,40.02354935524344,-75.21980635552694,"4229 Main St, Philadelphia, PA 19127",202,Taco Restaurant
49,Main & Shurs,The Couch Tomato Bistro,40.02466297874437,-75.22134222904128,"102 Rector Street (Upstairs) (Main Street (Manayunk)), Philadelphia, PA 19127",381,Tapas Restaurant
53,University City Station,Starbucks,39.94762356379797,-75.19339072883606,"3400 Civic Center Blvd, Philadelphia, PA 19104",301,Coffee Shop
57,University City Station,Beka's Chemistry Café,39.95081612581918,-75.19221883160607,"231 S 34th St (In Chemistry Laboratories), Philadelphia, PA 19104",311,Café
59,University City Station,Starbucks,39.95000940507062,-75.19303650066375,"3400 Spruce St, Philadelphia, PA 19104",300,Coffee Shop
64,Broad & Carpenter,Chipotle Mexican Grill,39.93902286837372,-75.16775132324646,"1000 S Broad St, Philadelphia, PA 19146",97,Mexican Restaurant
65,Broad & Carpenter,Starbucks,39.93814367595363,-75.16696429034168,"1002 S Broad St (Washington Avenue), Philadelphia, PA 19146",85,Coffee Shop
66,Broad & Carpenter,Restaurant Taqueria El Jarocho,39.93648228480978,-75.16484109459253,"1138 S 13th St (at Ellsworth St.), Philadelphia, PA 19147",305,Mexican Restaurant
68,Broad & Carpenter,Pho 75,39.9372143987388,-75.16278704877544,"1122 Washington Ave (btwn 11th St & 12th St), Philadelphia, PA 19147",375,Vietnamese Restaurant
69,Broad & Carpenter,mui chung,39.936815192730016,-75.16675037576212,"1133 S Broad St (Ellsworth St), Philadelphia, PA 19147",228,Chinese Restaurant
70,Broad & Allegheny,Saffron Indian Cuisine,40.002319138072394,-75.15263697152251,"3240 N Broad St, Philadelphia, PA 19140",99,Indian Restaurant
72,Broad & Allegheny,Caribbean Feast Cuisine,40.003221357986114,-75.15167280983864,"1338 Rising Sun Ave (Broad St.), Philadelphia, PA 19140",212,Caribbean Restaurant
75,Broad & Allegheny,Taco Bell,39.99977309234654,-75.15373459974586,"3032 N Broad St, Philadelphia, PA 19132",209,Fast Food Restaurant
76,Broad & Allegheny,Starbucks,40.00451877764395,-75.15274549806354,"3340 N Broad St, Philadelphia, PA 19140",343,Coffee Shop
82,34th & Spruce,Starbucks,39.95000940507062,-75.19303650066375,"3400 Spruce St, Philadelphia, PA 19104",55,Coffee Shop
84,34th & Spruce,Beka's Chemistry Café,39.95081612581918,-75.19221883160607,"231 S 34th St (In Chemistry Laboratories), Philadelphia, PA 19104",94,Café
88,34th & Spruce,Goldie,39.95295591874744,-75.1926238698495,"3401 Walnut St, Philadelphia, PA 19104",280,Falafel Restaurant
89,34th & Spruce,White Dog Cafe University City,39.95354810000001,-75.1929486,"3420 Sansom St, Philadelphia, PA 19104",341,American Restaurant
90,41st & Chestnut,Cleopatra Cafe,39.956282079805895,-75.20618421700539,"4145 Chestnut St (at 42nd St), Philadelphia, PA 19104",86,Hookah Bar
91,41st & Chestnut,Dana Mandi,39.95646609535505,-75.2069702533103,"4211 Chestnut St, Philadelphia, PA 19104",155,Indian Restaurant
92,41st & Chestnut,New Delhi Indian Restaurant,39.95560933117067,-75.20249279326167,"4004 Chestnut St (at 40th St), Philadelphia, PA 19104",241,Indian Restaurant
94,41st & Chestnut,Dim Sum House by Jane G's,39.95573081701866,-75.20180941375598,"3939 Chestnut St (40th and Chestnut), Philadelphia, PA 19104",297,Chinese Restaurant
95,41st & Chestnut,Kilimandjaro,39.95676607480428,-75.2089249938346,"4301 Chestnut St (btwn S 44th & S 43rd St), Philadelphia, PA 19104",323,African Restaurant
97,41st & Chestnut,Terakawa Ramen,39.95467007526733,-75.20216636012708,"125 S 40th St, Philadelphia, PA 19104",299,Ramen Restaurant
98,41st & Chestnut,Distrito,39.95576817111351,-75.20208893353745,"3945 Chestnut St (at 40th St), Philadelphia, PA 19104",273,Tapas Restaurant
99,41st & Chestnut,Kabobeesh,39.95628074775143,-75.20648118729918,"4201 Chestnut St (at 42nd St), Philadelphia, PA 19104",109,Pakistani Restaurant
103,20th & Market,El Rey,39.9522504,-75.1740503,"2013 Chestnut St (at 20th St), Philadelphia, PA 19103",173,Mexican Restaurant
105,20th & Market,Wilder,39.95151033971078,-75.17405428325212,"2009 Sansom St, Philadelphia, PA 19103",255,New American Restaurant
106,20th & Market,Devil's Alley,39.95205289437517,-75.17216600971092,"1907 Chestnut St (at 19th St.), Philadelphia, PA 19103",253,Bar
107,20th & Market,Vic Sushi Bar,39.95147676145491,-75.17494806114004,"2035 Sansom St, Philadelphia, PA 19103",269,Sushi Restaurant
108,20th & Market,Village Whiskey,39.95128529751654,-75.17364332772435,"118 S 20th St (at Sansom St), Philadelphia, PA 19103",282,Whisky Bar
112,"11th & Pine, Kahn Park",Mixto,39.945192782828684,-75.16105999355409,"1141 Pine St (at S 12th St), Philadelphia, PA 19107",96,Cuban Restaurant
113,"11th & Pine, Kahn Park",Tria Cafe Wash West,39.9466238,-75.1609139,"1137 Spruce St (at S 12th St), Philadelphia, PA 19107",182,Wine Bar
114,"11th & Pine, Kahn Park",Yellowtail,39.94501914790475,-75.16185778969981,"1218 Pine St, Philadelphia, PA 19107",165,Japanese Restaurant
115,"11th & Pine, Kahn Park",Good Karma Cafe,39.94467167210889,-75.15797234416873,"928 Pine St (at 10th St), Philadelphia, PA 19107",175,Café
116,"11th & Pine, Kahn Park",Jiggy Coffee,39.944622,-75.158345,"1000 Pine St (10th St), Philadelphia, PA 19107",148,Coffee Shop
119,"11th & Pine, Kahn Park",Mercato,39.94660790625103,-75.16187864339636,"1216 Spruce St (at 12th St), Philadelphia, PA 19107",230,Italian Restaurant
122,Broad & Lehigh,Halal Steaks,39.995325198568665,-75.15392471409723,"2739 N Broad St, Philadelphia, PA 19132",173,Restaurant
132,"46th Street Station, MFL",Kaffa Crossing,39.95686570269632,-75.21052270723752,"4421 Chestnut St, Philadelphia, PA 19104",304,Ethiopian Restaurant
134,"46th Street Station, MFL",Kilimandjaro,39.95676607480428,-75.2089249938346,"4301 Chestnut St (btwn S 44th & S 43rd St), Philadelphia, PA 19104",422,African Restaurant
136,"46th Street Station, MFL",Saad's Halal Restaurant,39.954964,-75.21185,"4500 Walnut St (at 45th St), Philadelphia, PA 19139",427,Middle Eastern Restaurant
