,name,longitude,latitude,free_bikes
0,Ridge & Heritage,-75.197,40.01022,11
1,21st & Passyunk,-75.1821,39.92327,9
2,Huntingdon & Collins,-75.12348,39.98451,4
3,Philadelphia Zoo,-75.19781,39.97472,8
4,Main & Shurs,-75.218,40.02237,9
5,University City Station,-75.19007,39.94855,5
6,Broad & Carpenter,-75.16663,39.93887,4
7,Broad & Allegheny,-75.15256,40.00143,3
8,34th & Spruce,-75.19324,39.95048,4
9,41st & Chestnut,-75.2053,39.9559,2
10,20th & Market,-75.17407,39.95381,0
11,"11th & Pine, Kahn Park",-75.15993,39.94517,3
12,Broad & Lehigh,-75.15527,39.99415,7
13,"46th Street Station, MFL",-75.21323,39.95866,8
14,Front & Queen,-75.14492,39.93682,7
15,18th & JFK Curbside,-75.16965,39.9541,12
16,8th & Diamond,-75.14743,39.9835,6
17,Schuylkill & Wharton,-75.20336,39.93931,2
18,Temple University Station,-75.15067,39.98081,7
19,54th & Chester,-75.22347,39.93922,3
20,Powelton & Lancaster,-75.19633,39.95957,3
21,"11th & Poplar, John F. Street Community Center",-75.1547,39.96892,5
22,57th & Westminster ,-75.23359,39.96693,1
23,Moyamensing & Tasker,-75.15103,39.92777,35
24,Oxford & Glenwood,-75.18651,39.98024,1
25,"M.L.K. Drive, Strawberry Mansion Bridge",-75.19944,39.99198,4
26,7th & Fitzwater,-75.15442,39.94018,15
27,48th & Woodland,-75.21138,39.94235,5
28,6th & S Washington Square,-75.15138,39.94628,2
29,2nd & George,-75.13999,39.96727,4
30,Broad & Cecil B. Moore,-75.15777,39.97887,3
31,Midvale & Cresson,-75.19287,40.01112,3
32,16th & Callowhill,-75.1651,39.96,8
33,22nd & Spring Garden,-75.17385,39.9639,1
34,Girard & Palmer,-75.12813,39.97116,11
35,Lindbergh & Wheeler,-75.2162,39.9323,3
36,18th & JFK,-75.16902,39.9539,9
37,"43rd & Chester, Clark Park",-75.20908,39.94822,3
38,12th & Callowhill,-75.15821,39.95924,1
39,25th & Diamond,-75.17477,39.98717,4
40,12th & Normandy,-75.17187,39.89322,4
41,50th & Haverford,-75.22048,39.96405,4
42,"Broad & Pattison, BSL",-75.1734,39.90471,13
43,19th & Market,-75.17192,39.95355,2
44,Wynnefield Station,-75.22528,39.99153,0
45,19th & Lombard,-75.17348,39.94561,7
46,43rd & Powelton,-75.2081,39.9586,3
47,17th & Girard,-75.16351,39.97207,6
48,Health Sciences Drive,-75.19551,39.94573,7
49,"York-Dauphin Station, MFL",-75.13255,39.9849,12
50,16th & Chestnut,-75.16758,39.95134,7
51,22nd & Federal,-75.18012,39.93775,6
52,8th & Chestnut,-75.15424,39.94974,1
53,Pennsylvania Convention Center,-75.16138,39.95424,0
54,"Berks Station, MFL",-75.13339,39.97888,10
55,26th & Poplar,-75.17971,39.9728,3
56,16th & Montgomery,-75.16065,39.98091,3
57,13th & Mifflin,-75.1668,39.9265,13
58,Ridge & Master,-75.16846,39.97583,3
59,2nd & Lombard,-75.1455,39.94182,7
60,"63rd St Station, MFL",-75.24545,39.96246,10
61,ParkWest Town Center,-75.22399,39.97841,8
62,Broad & Diamond,-75.15668,39.98492,5
63,13th & Spruce,-75.16263,39.94655,1
64,Ridge & Ferry,-75.19194,40.00772,6
65,The Children's Hospital of Philadelphia (CHOP),-75.19409,39.94781,4
66,Corinthian & Poplar,-75.1706,39.97172,1
67,18th & Vine,-75.16901,39.95821,3
68,21st & Catharine,-75.17747,39.94218,12
69,18th & Chestnut,-75.17063,39.95174,3
70,30th & Oakford,-75.19324,39.93882,2
71,2nd & Race,-75.14263,39.95382,13
72,Darien & Catharine,-75.15716,39.93935,17
73,33rd & Dauphin,-75.18637,39.99179,5
74,"47th & Aspen, Lucien Blackwell",-75.21514,39.96538,0
75,Moyamensing & Ritner,-75.16408,39.91972,3
76,9th & Race,-75.15449,39.95484,3
77,York & Trenton,-75.12732,39.98131,4
78,York & Aramingo,-75.12157,39.97576,10
79,5th & Wolf,-75.1562,39.92,10
80,12th & Carpenter,-75.16351,39.93866,11
81,Grays Ferry & Pemberton,-75.18128,39.94431,9
82,28th & Lehigh,-75.17761,39.99683,5
83,Saunders & Pearl,-75.19883,39.95998,3
84,"18th & Fernon, Aquinas Center",-75.17474,39.93082,12
85,17th & Spring Garden,-75.16606,39.96289,3
86,24th & Jackson,-75.18672,39.92528,5
87,27th & Girard,-75.1801,39.97408,4
88,48th & Baltimore,-75.21807,39.94845,9
89,48th & Spruce,-75.21825,39.95373,10
90,17th & Pine,-75.1698,39.94633,20
91,11th & South,-75.15955,39.94295,12
92,"52nd & Larchwood, Malcolm X Park",-75.22637,39.95225,2
93,12th & Walnut,-75.16081,39.949,6
94,30th & Reed,-75.19447,39.93633,1
95,20th & Berks,-75.16738,39.98306,1
96,Foglietta Plaza,-75.1425,39.94509,23
97,22nd & Sedgley,-75.1681,39.99301,2
98,9th & Spring Garden,-75.15242,39.96143,2
99,6th & Girard,-75.14666,39.97012,5
100,4th & Washington,-75.15094,39.93401,15
101,12th & Passyunk,-75.16515,39.92814,14
102,"40th & Baltimore, Trolley Portal",-75.20286,39.94993,0
103,18th & Christian,-75.17227,39.94077,4
104,15th & Kitty Hawk,-75.17679,39.88994,1
105,Pencoyd Bridge,-75.21241,40.0163,2
106,33rd & Reservoir,-75.18866,39.98203,5
107,"8th & Mifflin, Bok Building",-75.15954,39.92545,5
108,25th & Locust,-75.18097,39.94974,8
109,Broad & Girard,-75.15993,39.97157,2
110,2nd & Brown,-75.14099,39.96304,10
111,4th & Wood,-75.14575,39.95673,4
112,4th & Christian,-75.15038,39.93704,14
113,Broad & Passyunk ,-75.16904,39.92552,12
114,49th & Chester,-75.21606,39.94367,2
115,5th & Willow,-75.14745,39.95946,5
116,Cobbs Creek & Florence,-75.23373,39.93771,2
117,11th & Wood,-75.15668,39.95817,4
118,50th & Baltimore,-75.22301,39.94782,4
119,12th & Filbert,-75.15979,39.95273,9
120,36th & Sansom,-75.19479,39.9538,3
121,23rd & Fairmount,-75.17507,39.96744,7
122,Philadelphia Museum of Art,-75.17987,39.96439,1
123,16th & Arch,-75.1662,39.95523,3
124,50th & Woodland,-75.21362,39.93968,12
125,"18th & Washington, Chew Playground",-75.17327,39.9384,16
126,7th & Passyunk,-75.15526,39.93638,11
127,"Broad & Ontario, Temple Hospital",-75.15233,40.00496,0
128,Race Street Pier,-75.13956,39.95367,11
129,7th & Dickinson,-75.15636,39.9302,12
130,33rd & Diamond,-75.18701,39.98837,7
131,8th & Market,-75.15457,39.95112,3
132,7th & South,-75.15399,39.94234,3
133,"Ridge & Pensdale, Kendrick Recreation Center",-75.21106,40.02826,8
134,38th & Market,-75.19862,39.95662,7
135,Front & Carpenter,-75.14541,39.93445,5
136,45th & Baltimore,-75.21278,39.949,5
137,20th & Fairmount,-75.17001,39.96716,6
138,24th & Pennsylvania ,-75.17765,39.96566,6
139,30th Street Station East,-75.18091,39.95486,17
140,Schuylkill Banks Pergola,-75.18177,39.96383,14
141,34th & Mantua,-75.19209,39.96664,1
142,10th & Packer,-75.16588,39.9104,3
143,18th & Walnut,-75.17126,39.95029,11
144,Del. River Trail & Penn St.,-75.13641,39.96175,2
145,54th & Cedar,-75.23035,39.95098,0
146,20th & Cuthbert,-75.17298,39.95485,3
147,17th & JFK,-75.16783,39.95405,1
148,Dornsife Center,-75.19419,39.96271,5
149,"51st & Regent, Kingsessing Library",-75.21838,39.94201,4
150,3rd & Girard,-75.1418,39.96984,21
151,"Parkside & Belmont, Case Building",-75.21323,39.97779,1
152,"Spring Garden Station, MFL",-75.1402,39.96036,10
153,17th & Green,-75.16582,39.96437,4
154,"21st & Winter, Franklin Institute",-75.17369,39.95886,3
155,4th & Bainbridge,-75.14958,39.94061,4
156,Fitzwater & Juniper,-75.16502,39.94167,3
157,25th & Wharton,-75.18621,39.93651,7
158,20th & Sansom,-75.17394,39.95134,13
159,34th & Arch,-75.19079,39.95784,3
160,"7th & Race, Franklin Square",-75.15128,39.95508,4
161,38th & Spruce,-75.19962,39.95121,0
162,23rd & South,-75.17971,39.94527,9
163,Amtrak 30th Street Station,-75.18323,39.95472,5
164,Broad & Ritner,-75.17033,39.92083,3
165,Broad & Chestnut,-75.16438,39.95095,5
166,6th & Brown,-75.14769,39.96409,4
167,53rd & Baltimore,-75.22946,39.9476,1
168,56th & Chestnut,-75.23354,39.95961,0
169,Broad & Snyder,-75.16959,39.924,12
170,6th & Master,-75.14612,39.97318,3
171,Allegheny & Richmond,-75.10121,39.98287,8
172,"4th & Walnut, NPS",-75.14886,39.94735,7
173,"Welcome Park, NPS",-75.14403,39.94733,12
174,11th & Reed,-75.16248,39.93315,7
175,Girard & Hutchinson,-75.15171,39.9707,3
176,34th & Chestnut,-75.192,39.95441,2
177,Barnes Foundation,-75.17198,39.96006,2
178,Crescent Park,-75.17514,39.89629,1
179,2nd & Norris,-75.13721,39.98101,2
180,Broad & Oxford,-75.15813,39.97669,5
181,23rd & Chestnut,-75.17779,39.95269,1
182,Water & Mifflin,-75.14701,39.9237,9
183,6th & Chestnut,-75.15097,39.94883,6
