,station_name,poi_count,num_bikes
0,10th & Chestnut,1,4
1,10th & Federal,4,8
2,10th & Nevada,1,7
3,10th & Oregon,3,8
4,"11th & Pine, Kahn Park",2,3
5,11th & Reed,3,7
6,11th & Washington,6,11
7,11th & Wood,1,4
8,12th & Callowhill,3,1
9,12th & Cambria,2,3
10,12th & Chestnut,6,6
11,12th & Fairmount,2,2
12,12th & Filbert,2,9
13,12th & Normandy,1,4
14,12th & Passyunk,4,14
15,12th & Walnut,4,6
16,13th & Locust,7,1
17,13th & Mifflin,4,13
18,13th & Montgomery,5,0
19,13th & Spruce,5,1
20,"15th & Castle, DiSilvestro Playground",6,12
21,15th & Kitty Hawk,1,1
22,15th & South,2,6
23,15th & Spruce,2,9
24,16th & Chestnut,2,7
25,16th & Montgomery,1,3
26,16th & Wolf,6,4
27,17th & Girard,1,6
28,17th & Green,3,4
29,17th & JFK,4,1
30,17th & Locust,6,17
31,17th & Sansom,4,7
32,18th & Christian,3,4
33,"18th & Fernon, Aquinas Center",1,12
34,18th & JFK,1,9
35,18th & Walnut,7,11
36,"18th & Washington, Chew Playground",1,16
37,"19th & Girard, PTTI",2,2
38,19th & Lombard,3,7
39,19th & Market,3,2
40,19th & Oregon,2,2
41,20th & Cuthbert,3,3
42,20th & Fairmount,2,6
43,20th & Race,2,4
44,20th & Sansom,5,13
45,21st & Washington,6,14
46,22nd & Cecil B. Moore,2,0
47,22nd & Lehigh,1,9
48,22nd & Sedgley,1,2
49,23rd & Chestnut,4,1
50,23rd & Fairmount,2,7
51,23rd & Master,2,4
52,23rd & South,3,9
53,24th & Christian,1,7
54,24th & Jackson,1,5
55,24th & Pennsylvania ,3,6
56,24th & Race SRT,1,9
57,24th & Sansom,2,5
58,25th & Locust,1,8
59,25th & Wharton,2,7
60,"26th & Moore, Vare Recreation Center",1,8
61,26th & Poplar,1,3
62,27th & Clearfield,1,1
63,27th & Girard,1,4
64,27th & Pennsylvania,2,6
65,27th & South,2,1
66,28th & Lehigh,1,5
67,29th & Dauphin,4,6
68,29th & Tasker,1,8
69,2nd & Brown,1,10
70,2nd & Lombard,4,7
71,2nd & Norris,1,2
72,2nd & Snyder,2,6
73,30th & Oakford,1,2
74,30th Street Station East,2,17
75,31st & Girard,3,1
76,32nd & Allegheny,2,3
77,"32nd & Baring, Drexel Park",2,4
78,33rd & Market,1,2
79,33rd & Reservoir,1,5
80,34th & Arch,1,3
81,34th & Chestnut,5,2
82,36th & Filbert,2,3
83,36th & Sansom,4,3
84,38th & Market,2,7
85,38th & Spruce,2,0
86,"39th & Mt. Vernon, Mantua Haverford Community Center",2,1
87,3rd & Girard,5,21
88,"3rd & Wildey, Liberty Lands Park",2,13
89,40th & Spruce,4,0
90,41st & Chestnut,5,2
91,42nd & Lancaster,1,3
92,42nd & Woodland,3,2
93,"43rd & Chester, Clark Park",1,3
94,43rd & Powelton,2,3
95,44th & Haverford,2,1
96,44th & Walnut,4,6
97,45th & Baltimore,4,5
98,"46th Street Station, MFL",1,8
99,48th & Baltimore,2,9
100,48th & Spruce,3,10
101,49th & Chester,2,2
102,4th & Arch,2,0
103,4th & Bainbridge,5,4
104,4th & Christian,2,14
105,4th & Oregon,1,8
106,"4th & Walnut, NPS",2,7
107,4th & Washington,3,15
108,4th & Wood,5,4
109,50th & Baltimore,1,4
110,50th & Haverford,2,4
111,50th & Woodland,1,12
112,"51st & Regent, Kingsessing Library",2,4
113,52nd & Chestnut,1,4
114,"52nd & Larchwood, Malcolm X Park",2,2
115,53rd & Baltimore,1,1
116,54th & Cedar,2,0
117,54th & Chester,2,3
118,54th & City Ave,4,6
119,56th & Chestnut,3,0
120,57th & Westminster ,3,1
121,58th & Spruce,2,2
122,5th & Spring Garden,1,7
123,5th & Willow,1,5
124,5th & Wolf,2,10
125,"63rd St Station, MFL",3,10
126,6th & Berks,3,5
127,6th & Chestnut,3,6
128,6th & Master,2,3
129,6th & Race,2,1
130,7th & Dickinson,3,12
131,7th & Fitzwater,7,15
132,7th & Passyunk,5,11
133,"7th & Race, Franklin Square",4,4
134,7th & South,1,3
135,8th & Brown,3,0
136,8th & Chestnut,1,1
137,"8th & Mifflin, Bok Building",4,5
138,8th & Spruce,1,2
139,9th & Arch,5,2
140,9th & Locust,2,1
141,9th & Lombard,3,4
142,9th & Race,1,3
143,9th & Spring Garden,1,2
144,Allegheny & Richmond,3,8
145,American & Berks,1,6
146,American & Oxford,1,9
147,Amtrak 30th Street Station,1,5
148,Barnes Foundation,4,2
149,"Berks Station, MFL",4,10
150,Broad & Allegheny,3,3
151,Broad & Carpenter,1,4
