,station_name,distance_to,name,price,rating,review_count,address,category
0,21st & Passyunk,833.5611446548486,Second District Brewing,$$,4.1,126,"1939 S Bancroft St, Philadelphia, PA 19145","Breweries, Beer Bar, American"
1,Huntingdon & Collins,1317.0022924618593,Evil Genius Beer,$$,4.1,317,"1727 N Front St, Philadelphia, PA 19122","Breweries, Beer Gardens"
2,Huntingdon & Collins,1481.975664120468,Kraftwork,$$,4.1,590,"541 E Girard Ave, Philadelphia, PA 19125","Gastropubs, New American, Breakfast & Brunch"
3,Main & Shurs,69.04129708265654,Manayunk Brewery,$$,3.4,811,"4120 Main St, Philadelphia, PA 19127","New American, Breweries, American"
4,University City Station,1388.51469722382,Dock Street Brewery South,$$,3.7,134,"2118 Washington Ave, Philadelphia, PA 19146","Venues & Event Spaces, Brewpubs"
5,Broad & Carpenter,1514.6941438063527,Second District Brewing,$$,4.1,126,"1939 S Bancroft St, Philadelphia, PA 19145","Breweries, Beer Bar, American"
6,Broad & Carpenter,1080.6594541849931,Dock Street Brewery South,$$,3.7,134,"2118 Washington Ave, Philadelphia, PA 19146","Venues & Event Spaces, Brewpubs"
7,Broad & Carpenter,992.0686390281248,Monk's Cafe,$$,4.0,2432,"264 S 16th St, Philadelphia, PA 19102","Pubs, Belgian"
8,Broad & Carpenter,1311.8237583238244,McGillin's Olde Ale House,$$,3.8,1165,"1310 Drury St, Philadelphia, PA 19107","Irish Pub, Venues & Event Spaces"
9,34th & Spruce,1729.265227518795,Dock Street Brewery South,$$,3.7,134,"2118 Washington Ave, Philadelphia, PA 19146","Venues & Event Spaces, Brewpubs"
10,20th & Market,1628.143351110892,Bar Hygge,$$,4.4,525,"1720 Fairmount Ave, Philadelphia, PA 19130","Comfort Food, Breakfast & Brunch, Brewpubs"
11,20th & Market,839.3114092708053,Monk's Cafe,$$,4.0,2432,"264 S 16th St, Philadelphia, PA 19102","Pubs, Belgian"
12,20th & Market,1053.9453166813553,McGillin's Olde Ale House,$$,3.8,1165,"1310 Drury St, Philadelphia, PA 19107","Irish Pub, Venues & Event Spaces"
13,"11th & Pine, Kahn Park",765.9759441870724,Monk's Cafe,$$,4.0,2432,"264 S 16th St, Philadelphia, PA 19102","Pubs, Belgian"
14,"11th & Pine, Kahn Park",609.9682691457539,McGillin's Olde Ale House,$$,3.8,1165,"1310 Drury St, Philadelphia, PA 19107","Irish Pub, Venues & Event Spaces"
15,"11th & Pine, Kahn Park",1393.2967619608337,Khyber Pass Pub,$$,4.2,942,"56 S 2nd St, Philadelphia, PA 19106","Gastropubs, Pubs, American"
16,Front & Queen,1315.9868030472087,Khyber Pass Pub,$$,4.2,942,"56 S 2nd St, Philadelphia, PA 19106","Gastropubs, Pubs, American"
17,18th & JFK Curbside,1479.2138992417572,Bar Hygge,$$,4.4,525,"1720 Fairmount Ave, Philadelphia, PA 19130","Comfort Food, Breakfast & Brunch, Brewpubs"
18,18th & JFK Curbside,720.9601491493074,Monk's Cafe,$$,4.0,2432,"264 S 16th St, Philadelphia, PA 19102","Pubs, Belgian"
19,18th & JFK Curbside,736.8823675497885,McGillin's Olde Ale House,$$,3.8,1165,"1310 Drury St, Philadelphia, PA 19107","Irish Pub, Venues & Event Spaces"
20,8th & Diamond,1434.1668085557578,Evil Genius Beer,$$,4.1,317,"1727 N Front St, Philadelphia, PA 19122","Breweries, Beer Gardens"
21,Temple University Station,1531.1288089177092,Evil Genius Beer,$$,4.1,317,"1727 N Front St, Philadelphia, PA 19122","Breweries, Beer Gardens"
22,"11th & Poplar, John F. Street Community Center",993.7999121790998,Bar Hygge,$$,4.4,525,"1720 Fairmount Ave, Philadelphia, PA 19130","Comfort Food, Breakfast & Brunch, Brewpubs"
23,"11th & Poplar, John F. Street Community Center",1105.5828612555545,Yards Brewing Company,$$,4.4,1048,"500 Spring Garden St, Philadelphia, PA 19123","Breweries, Venues & Event Spaces, New American"
24,7th & Fitzwater,1448.0604833635125,Monk's Cafe,$$,4.0,2432,"264 S 16th St, Philadelphia, PA 19102","Pubs, Belgian"
25,7th & Fitzwater,1280.928483033632,Khyber Pass Pub,$$,4.2,942,"56 S 2nd St, Philadelphia, PA 19106","Gastropubs, Pubs, American"
26,7th & Fitzwater,1320.1145801501418,McGillin's Olde Ale House,$$,3.8,1165,"1310 Drury St, Philadelphia, PA 19107","Irish Pub, Venues & Event Spaces"
27,6th & S Washington Square,664.0431226945635,Khyber Pass Pub,$$,4.2,942,"56 S 2nd St, Philadelphia, PA 19106","Gastropubs, Pubs, American"
28,6th & S Washington Square,1449.8853865273222,Monk's Cafe,$$,4.0,2432,"264 S 16th St, Philadelphia, PA 19102","Pubs, Belgian"
29,6th & S Washington Square,1054.2820482261877,McGillin's Olde Ale House,$$,3.8,1165,"1310 Drury St, Philadelphia, PA 19107","Irish Pub, Venues & Event Spaces"
30,2nd & George,915.5618201455692,Yards Brewing Company,$$,4.4,1048,"500 Spring Garden St, Philadelphia, PA 19123","Breweries, Venues & Event Spaces, New American"
31,2nd & George,1078.5104710909438,Evil Genius Beer,$$,4.1,317,"1727 N Front St, Philadelphia, PA 19122","Breweries, Beer Gardens"
32,2nd & George,1176.7792303237786,Kraftwork,$$,4.1,590,"541 E Girard Ave, Philadelphia, PA 19125","Gastropubs, New American, Breakfast & Brunch"
33,Broad & Cecil B. Moore,1487.3559216203985,Bar Hygge,$$,4.4,525,"1720 Fairmount Ave, Philadelphia, PA 19130","Comfort Food, Breakfast & Brunch, Brewpubs"
34,16th & Callowhill,797.1103855166231,Bar Hygge,$$,4.4,525,"1720 Fairmount Ave, Philadelphia, PA 19130","Comfort Food, Breakfast & Brunch, Brewpubs"
35,16th & Callowhill,1394.3022995973283,Monk's Cafe,$$,4.0,2432,"264 S 16th St, Philadelphia, PA 19102","Pubs, Belgian"
36,16th & Callowhill,1103.9897304273147,McGillin's Olde Ale House,$$,3.8,1165,"1310 Drury St, Philadelphia, PA 19107","Irish Pub, Venues & Event Spaces"
37,22nd & Spring Garden,749.7738523776284,Bar Hygge,$$,4.4,525,"1720 Fairmount Ave, Philadelphia, PA 19130","Comfort Food, Breakfast & Brunch, Brewpubs"
38,Girard & Palmer,714.0199890172613,Evil Genius Beer,$$,4.1,317,"1727 N Front St, Philadelphia, PA 19122","Breweries, Beer Gardens"
39,Girard & Palmer,77.99388938843697,Kraftwork,$$,4.1,590,"541 E Girard Ave, Philadelphia, PA 19125","Gastropubs, New American, Breakfast & Brunch"
40,18th & JFK,1491.1741885146328,Bar Hygge,$$,4.4,525,"1720 Fairmount Ave, Philadelphia, PA 19130","Comfort Food, Breakfast & Brunch, Brewpubs"
41,18th & JFK,692.1234366824326,Monk's Cafe,$$,4.0,2432,"264 S 16th St, Philadelphia, PA 19102","Pubs, Belgian"
42,18th & JFK,680.3612089973062,McGillin's Olde Ale House,$$,3.8,1165,"1310 Drury St, Philadelphia, PA 19107","Irish Pub, Venues & Event Spaces"
43,12th & Callowhill,1106.2350975347438,Bar Hygge,$$,4.4,525,"1720 Fairmount Ave, Philadelphia, PA 19130","Comfort Food, Breakfast & Brunch, Brewpubs"
44,12th & Callowhill,982.3022032909588,Yards Brewing Company,$$,4.4,1048,"500 Spring Garden St, Philadelphia, PA 19123","Breweries, Venues & Event Spaces, New American"
45,12th & Callowhill,1544.0395779281803,Monk's Cafe,$$,4.0,2432,"264 S 16th St, Philadelphia, PA 19102","Pubs, Belgian"
46,12th & Callowhill,1066.8375573125318,McGillin's Olde Ale House,$$,3.8,1165,"1310 Drury St, Philadelphia, PA 19107","Irish Pub, Venues & Event Spaces"
47,12th & Callowhill,1676.0785236188651,Khyber Pass Pub,$$,4.2,942,"56 S 2nd St, Philadelphia, PA 19106","Gastropubs, Pubs, American"
48,19th & Market,720.3478462135557,Monk's Cafe,$$,4.0,2432,"264 S 16th St, Philadelphia, PA 19102","Pubs, Belgian"
49,19th & Market,874.2097104138259,McGillin's Olde Ale House,$$,3.8,1165,"1310 Drury St, Philadelphia, PA 19107","Irish Pub, Venues & Event Spaces"
