,station_name,poi_name,latitude,longitude,address,distance_m,category
0,Ridge & Heritage,Schuykill River Trail,40.008747900056235,-75.19521391803448,"Philadelphia, PA 19127",223,Hiking Trail
1,Ridge & Heritage,Dunkin',40.0094026,-75.1965193,"4268 Ridge Ave, Philadelphia, PA 19129",99,Donut Shop
2,Ridge & Heritage,Thunder Mug Cafe,40.00941146209319,-75.19468934325535,"4233 Ridge Ave, Philadelphia, PA 19129",216,Coffee Shop
3,Ridge & Heritage,Shan Chuan,40.009165706661726,-75.19411377568966,"4211 Ridge Ave (Midvale Ave.), Philadelphia, PA 19129",272,Chinese Restaurant
4,Ridge & Heritage,LeBus East Falls,40.00886168466631,-75.1936636134526,"4201 Ridge Ave (Indian Queen Lane), Philadelphia, PA 19129",321,New American Restaurant
5,Ridge & Heritage,Major Wing Lee Grocery Market,40.009165706661726,-75.19411377568966,"4207 Ridge Ave (at Midvale Ave), Philadelphia, PA 19129",272,Deli
6,Ridge & Heritage,Slices Pizza,40.0096992027077,-75.19556900839521,"4249 Ridge Ave, Philadelphia, PA 19129",134,Pizzeria
7,Ridge & Heritage,DVHS,40.01011268847388,-75.19810895822505,"4333 Kelly Dr (Merrick Street), Philadelphia, PA 19129",95,High School
8,Ridge & Heritage,Golden Crust Pizza III,40.00908172463362,-75.1935056033103,"3732 Midvale Ave, Philadelphia, PA 19129",323,Pizzeria
9,Ridge & Heritage,Below The Rest But Above The All,40.0096992027077,-75.19556900839521,"4253 Ridge Ave, Philadelphia, PA 19129",134,Speakeasy
10,21st & Passyunk,Nick's Old Original Roast Beef,39.924432,-75.179414,"2149 S 20th St (at Jackson St), Philadelphia, PA 19145",262,Sandwich Spot
11,21st & Passyunk,Philip's Steaks,39.92258045148888,-75.18482637454576,"2234 W Passyunk Ave (at W Ritner St), Philadelphia, PA 19145",244,Sandwich Spot
12,21st & Passyunk,Brewery ARS,39.923950902317394,-75.17899240567233,"1927 W Passyunk Ave (btwn S 19th & 20th St), Philadelphia, PA 19145",275,Brewery
13,21st & Passyunk,Wolf Street Pizza,39.92364335268559,-75.18288341917226,"2135 Wolf St (S Beechwood St), Philadelphia, PA 19145",78,Pizzeria
14,21st & Passyunk,Tap Room On 19th,39.921655117675286,-75.17856279676369,"2400 S 19th St (Ritner), Philadelphia, PA 19145",350,Gastropub
15,21st & Passyunk,Grubhouse,39.92282542588018,-75.1847217323577,"2340 S Hemberger St (Passyunk), Philadelphia, PA 19145",228,Diner
16,21st & Passyunk,Stephen Girard Park,39.92015956180558,-75.18313218885488,"21st St (21st and Shunk), Philadelphia, PA 19145",356,Park
17,21st & Passyunk,King of Wings,39.92380210294025,-75.18010021451073,"2233 S Woodstock St, Philadelphia, PA 19145",180,Wings Joint
18,21st & Passyunk,Nailpro,39.92263485706843,-75.18410783100545,"Passyunk Avenue, Philadelphia, PA 19145",185,Structure
19,21st & Passyunk,7-Eleven,39.92312263795685,-75.185342499526,"2301 W Passyunk Ave (S 23rd St), Philadelphia, PA 19145",276,Convenience Store
20,Huntingdon & Collins,Cook and Shaker,39.982694502837816,-75.12070207770445,"2301 E Albert St (at Tulip St), Philadelphia, PA 19125",310,American Restaurant
21,Huntingdon & Collins,Record Lady,39.98439518843127,-75.12435633049296,"2557 Amber St (Frankford Avenue), Philadelphia, PA 19125",75,Music Store
22,Huntingdon & Collins,Franco's Pizza,39.98198145066013,-75.12166558228964,"2573 Tulip St, Philadelphia, PA 19125",320,Pizzeria
23,Huntingdon & Collins,Philadelphia Brewing Company,39.98283960886178,-75.12732616875618,"2439 Amber St, Philadelphia, PA 19125",376,Brewery
24,Huntingdon & Collins,Atlantis: The Lost Bar,39.98234047431338,-75.12686182383922,"2442 Frankford Ave, Philadelphia, PA 19125",375,Bar
25,Huntingdon & Collins,Red Brick Craft Distillery,39.984947541624976,-75.12245488754766,"2628 Martha St, Philadelphia, PA 19125",99,Brewery
26,Huntingdon & Collins,Salsa on the Square,39.985416095106885,-75.12136567176852,"2126 E Lehigh Ave, Philadelphia, PA 19125",206,Bar
27,Huntingdon & Collins,Circles + Squares,39.98111854991972,-75.12328918191938,"2513 Tulip St (at E Firth St), Philadelphia, PA 19125",377,Pizzeria
28,Huntingdon & Collins,Calle Del Sabor,39.98236507862657,-75.1271540765757,"Philadelphia, PA 19125",393,Food Truck
29,Huntingdon & Collins,Yum Yum Deli,39.98583770384474,-75.12440428309634,"2031 E Huntingdon St (Coral & huntingdon), Philadelphia, PA 19125",167,Deli
30,Philadelphia Zoo,Philadelphia Zoo,39.97405841949263,-75.19587499492785,"3400 W Girard Ave (at N 34th St), Philadelphia, PA 19104",180,Zoo
31,Philadelphia Zoo,ZooShop,39.97428321967696,-75.19541021507241,"3400 W Girard Ave (at Philadelphia Zoo), Philadelphia, PA 19104",210,Gift Store
32,Philadelphia Zoo,Reptile House,39.97257238310038,-75.19695159037221,"3400 W Girard Ave (at Philadelphia Zoo), Philadelphia, PA 19104",249,Zoo Exhibit
33,Philadelphia Zoo,Rare Animal Conservation Center,39.97306162353426,-75.19626822037465,"3400 W Girard Ave (at Philadelphia Zoo), Philadelphia, PA 19104",226,Zoo Exhibit
34,Philadelphia Zoo,Philadelphia Zoo Centenial District Intermodal Transportation Center,39.97468025691348,-75.19773948069486,"Philadelphia, PA 19104",7,Neighborhood
35,Philadelphia Zoo,Kid Zoo U,39.972157015780915,-75.19742697916087,"3400 W Girard Ave (at Philadelphia Zoo), Philadelphia, PA 19104",286,Zoo Exhibit
36,Philadelphia Zoo,Zoo Bridge,39.97522106571352,-75.19493809182984,"3400 W Girard Ave (at Philadelphia Zoo), Philadelphia, PA 19104",250,Public Art
37,Philadelphia Zoo,Peco Primate Reserve,39.971632596948886,-75.19629665958752,"3400 W Girard Ave (at Philadelphia Zoo), Philadelphia, PA 19104",366,Zoo Exhibit
38,Philadelphia Zoo,Bank of America Big Cat Falls,39.971113971570844,-75.19684950835361,"3400 W Girard Ave (at Philadelphia Zoo), Philadelphia, PA 19104",408,Zoo Exhibit
